"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-est-56967588d5-j4wds","ue-ch-mmse","ue-ch-mmse-86945f4b45-fqhfm","ue-check-crc","ue-check-crc-74c7fc4f64-zfrdr","ue-descrambling","ue-descrambling-c9454ff78-phz8p","ue-layer-demap","ue-layer-demap-7fd5c94944-jh5fm","ue-ldpc-dec","ue-ldpc-dec-57b6745967-s4pd4","ue-ofdm-demod","ue-ofdm-demod-6cf8d58bf7-hd4jd","ue-soft-demod","ue-soft-demod-5bf45b6d95-sgz6h"
1780042342000,0.01626302449744439,0.0813151224871064,0.03252604899484256,0.03252604899484256,0,0.14636722047716128,0.08131512248729128,0,0.048789073492356276,0.016263024497432832,0,0.01626302449742128,0,8.131512248718034,undefined,undefined,undefined,undefined,undefined,8.131512248718034,undefined,0,undefined,8.115249224220612,undefined,0,undefined,8.131512248718034,undefined
1780042343000,0.01626302449744439,0.0813151224871064,0.03252604899484256,0.03252604899484256,0,0.14636722047716128,0.08131512248729128,0,0.048789073492356276,0.016263024497432832,0,0.01626302449742128,0,8.131512248718034,undefined,undefined,undefined,undefined,undefined,8.131512248718034,undefined,0,undefined,8.115249224220612,undefined,0,undefined,8.131512248718034,undefined
1780042344000,0.01626302449744439,0.0813151224871064,0.03252604899484256,0.03252604899484256,0,0.14636722047716128,0.08131512248729128,0,0.048789073492356276,0.016263024497432832,0,0.01626302449742128,0,8.131512248718034,undefined,undefined,undefined,undefined,undefined,8.131512248718034,undefined,0,undefined,8.115249224220612,undefined,0,undefined,8.131512248718034,undefined
1780042345000,0,0.06422854481791472,0,0.016057136204569954,0,0.14451422584030812,0.0802856810223934,0,0.048171408613436044,0,0,0.01605713620447868,0.016057136204492943,8.028568102246643,undefined,undefined,undefined,undefined,undefined,8.012510966042141,undefined,0,undefined,8.028568102246643,undefined,0,undefined,8.028568102246643,undefined
1780042346000,0,0.06422854481791472,0,0.016057136204569954,0,0.14451422584030812,0.0802856810223934,0,0.048171408613436044,0,0,0.01605713620447868,0.016057136204492943,8.028568102246643,undefined,undefined,undefined,undefined,undefined,8.012510966042141,undefined,0,undefined,8.028568102246643,undefined,0,undefined,8.028568102246643,undefined
1780042347000,0,0.06422854481791472,0,0.016057136204569954,0,0.14451422584030812,0.0802856810223934,0,0.048171408613436044,0,0,0.01605713620447868,0.016057136204492943,8.028568102246643,undefined,undefined,undefined,undefined,undefined,8.012510966042141,undefined,0,undefined,8.028568102246643,undefined,0,undefined,8.028568102246643,undefined
1780042348000,0,0.06422854481791472,0,0.016057136204569954,0,0.14451422584030812,0.0802856810223934,0,0.048171408613436044,0,0,0.01605713620447868,0.016057136204492943,8.028568102246643,undefined,undefined,undefined,undefined,undefined,8.012510966042141,undefined,0,undefined,8.028568102246643,undefined,0,undefined,8.028568102246643,undefined
1780042349000,0,0.06422854481791472,0,0.016057136204569954,0,0.14451422584030812,0.0802856810223934,0,0.048171408613436044,0,0,0.01605713620447868,0.016057136204492943,8.028568102246643,undefined,undefined,undefined,undefined,undefined,8.012510966042141,undefined,0,undefined,8.028568102246643,undefined,0,undefined,8.028568102246643,undefined
1780042350000,0.02101038963170058,0.06303116889525104,0,0.021010389631670724,0,0.12606233779002435,0.0840415585266829,0,0.06303116889513159,0,0,0,0,8.110010397832065,undefined,undefined,undefined,undefined,undefined,8.110010397832275,undefined,0,undefined,8.110010397832305,undefined,0,undefined,8.110010397832065,undefined
1780042351000,0.02101038963170058,0.06303116889525104,0,0.021010389631670724,0,0.12606233779002435,0.0840415585266829,0,0.06303116889513159,0,0,0,0,8.110010397832065,undefined,undefined,undefined,undefined,undefined,8.110010397832275,undefined,0,undefined,8.110010397832305,undefined,0,undefined,8.110010397832065,undefined
