"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-mmse","ue-ch-mmse-98b7f65cf-h6nwc","ue-check-crc","ue-check-crc-7f9f86875d-k5hd5","ue-descrambling","ue-descrambling-5c54bcf8b4-x74tv","ue-layer-demap","ue-layer-demap-56d87f6894-zvvxl","ue-ldpc-dec","ue-ofdm-demod","ue-ofdm-demod-7f9ddcf5f5-tpqwn","ue-soft-demod","ue-soft-demod-cc9c66bb5-5njnq"
2026-06-03 20:37:36,0,0.0782,0,0.0782,0,0.156,0,0,0.0782,0,0,0,0,9.62,9.62,,0,,9.54,,9.62,,9.54,9.62,,9.62,
2026-06-03 20:37:37,0,0.0782,0,0.0782,0,0.156,0,0,0.0782,0,0,0,0,9.62,9.62,,0,,9.54,,9.62,,9.54,9.62,,9.62,
2026-06-03 20:37:38,0,0.0782,0,0.0782,0,0.156,0,0,0.0782,0,0,0,0,9.62,9.62,,0,,9.54,,9.62,,9.54,9.62,,9.62,
2026-06-03 20:37:39,0,0.0782,0,0.0782,0,0.156,0,0,0.0782,0,0,0,0,9.62,9.62,,0,,9.54,,9.62,,9.54,9.62,,9.62,
2026-06-03 20:37:40,0,0.315,0,0,0,0.630,0.236,0,0.0787,0,0,0,0,9.60,9.60,,0,,9.60,,9.60,,9.60,9.60,,9.60,
2026-06-03 20:37:41,0,0.315,0,0,0,0.630,0.236,0,0.0787,0,0,0,0,9.60,9.60,,0,,9.60,,9.60,,9.60,9.60,,9.60,
2026-06-03 20:37:42,0,0.315,0,0,0,0.630,0.236,0,0.0787,0,0,0,0,9.60,9.60,,0,,9.60,,9.60,,9.60,9.60,,9.60,
2026-06-03 20:37:43,0,0.315,0,0,0,0.630,0.236,0,0.0787,0,0,0,0,9.60,9.60,,0,,9.60,,9.60,,9.60,9.60,,9.60,
2026-06-03 20:37:44,0,0.315,0,0,0,0.630,0.236,0,0.0787,0,0,0,0,9.60,9.60,,0,,9.60,,9.60,,9.60,9.60,,9.60,
2026-06-03 20:37:45,0,0.0796,0,0.0796,0,0.239,0,0,0.159,0,0,0,0,9.63,9.63,,0,,9.63,,9.63,,9.63,9.63,,9.63,
2026-06-03 20:37:46,0,0.0796,0,0.0796,0,0.239,0,0,0.159,0,0,0,0,9.63,9.63,,0,,9.63,,9.63,,9.63,9.63,,9.63,
2026-06-03 20:37:47,0,0.0796,0,0.0796,0,0.239,0,0,0.159,0,0,0,0,9.63,9.63,,0,,9.63,,9.63,,9.63,9.63,,9.63,
2026-06-03 20:37:48,0,0.0796,0,0.0796,0,0.239,0,0,0.159,0,0,0,0,9.63,9.63,,0,,9.63,,9.63,,9.63,9.63,,9.63,
